ID	Trait	Population	Sample_size	Nsnp
eqtl-a-ENSG00000184100	ENSG00000184100	European	16627	17287
eqtl-a-ENSG00000164136	ENSG00000164136	European	31684	18204
eqtl-a-ENSG00000085982	ENSG00000085982	European	9188	18324
eqtl-a-ENSG00000254325	ENSG00000254325	European	4677	17996
eqtl-a-ENSG00000224614	ENSG00000224614	European	5502	18774
eqtl-a-ENSG00000147130	ENSG00000147130	European	9188	10125
eqtl-a-ENSG00000151689	ENSG00000151689	European	31684	17398
eqtl-a-ENSG00000240342	ENSG00000240342	European	5502	18004
eqtl-a-ENSG00000120903	ENSG00000120903	European	31684	20284
eqtl-a-ENSG00000211669	ENSG00000211669	European	8269	19617
eqtl-a-ENSG00000204344	ENSG00000204344	European	14263	41986
eqtl-a-ENSG00000107929	ENSG00000107929	European	31684	19320
eqtl-a-ENSG00000206077	ENSG00000206077	European	17261	19780
eqtl-a-ENSG00000099795	ENSG00000099795	European	14263	17870
eqtl-a-ENSG00000198692	ENSG00000198692	European	9188	10125
eqtl-a-ENSG00000197093	ENSG00000197093	European	31684	16136
eqtl-a-ENSG00000103245	ENSG00000103245	European	31684	20050
eqtl-a-ENSG00000255438	ENSG00000255438	European	4169	17871
eqtl-a-ENSG00000168118	ENSG00000168118	European	26609	18407
eqtl-a-ENSG00000260487	ENSG00000260487	European	3831	12147
eqtl-a-ENSG00000213024	ENSG00000213024	European	31684	19092
eqtl-a-ENSG00000254184	ENSG00000254184	European	9188	15517
eqtl-a-ENSG00000174231	ENSG00000174231	European	31684	20608
eqtl-a-ENSG00000197932	ENSG00000197932	European	6421	10124
eqtl-a-ENSG00000267270	ENSG00000267270	European	20028	15426
eqtl-a-ENSG00000260992	ENSG00000260992	European	22495	19426
eqtl-a-ENSG00000236875	ENSG00000236875	European	5502	15859
eqtl-a-ENSG00000074276	ENSG00000074276	European	14263	16040
eqtl-a-ENSG00000175198	ENSG00000175198	European	31684	18937
eqtl-a-ENSG00000012660	ENSG00000012660	European	31684	19103
eqtl-a-ENSG00000109606	ENSG00000109606	European	31470	19520
eqtl-a-ENSG00000139437	ENSG00000139437	European	31470	17296
eqtl-a-ENSG00000206172	ENSG00000206172	European	6421	15861
eqtl-a-ENSG00000180712	ENSG00000180712	European	25262	20814
eqtl-a-ENSG00000258976	ENSG00000258976	European	9403	17473
eqtl-a-ENSG00000147601	ENSG00000147601	European	14263	17930
eqtl-a-ENSG00000251578	ENSG00000251578	European	5502	16216
eqtl-a-ENSG00000204983	ENSG00000204983	European	12011	16226
eqtl-a-ENSG00000133030	ENSG00000133030	European	28917	17497
eqtl-a-ENSG00000184860	ENSG00000184860	European	26196	24208
eqtl-a-ENSG00000160972	ENSG00000160972	European	31684	15534
eqtl-a-ENSG00000167118	ENSG00000167118	European	31684	17791
eqtl-a-ENSG00000257135	ENSG00000257135	European	22495	20147
eqtl-a-ENSG00000136710	ENSG00000136710	European	26609	16984
eqtl-a-ENSG00000117262	ENSG00000117262	European	11496	12988
eqtl-a-ENSG00000101210	ENSG00000101210	European	31470	19670
eqtl-a-ENSG00000135930	ENSG00000135930	European	31684	18633
eqtl-a-ENSG00000119681	ENSG00000119681	European	26410	17901
eqtl-a-ENSG00000201098	ENSG00000201098	European	4339	16757
eqtl-a-ENSG00000227543	ENSG00000227543	European	10577	14710
eqtl-a-ENSG00000108389	ENSG00000108389	European	31684	16331
eqtl-a-ENSG00000010818	ENSG00000010818	European	31684	18078
eqtl-a-ENSG00000138036	ENSG00000138036	European	31470	19392
eqtl-a-ENSG00000213790	ENSG00000213790	European	4022	15565
eqtl-a-ENSG00000234175	ENSG00000234175	European	4656	18064
eqtl-a-ENSG00000144224	ENSG00000144224	European	31684	17162
eqtl-a-ENSG00000142166	ENSG00000142166	European	31684	17550
eqtl-a-ENSG00000233901	ENSG00000233901	European	5502	17376
eqtl-a-ENSG00000221916	ENSG00000221916	European	26609	18892
eqtl-a-ENSG00000211978	ENSG00000211978	European	5502	15029
eqtl-a-ENSG00000057757	ENSG00000057757	European	25690	17077
eqtl-a-ENSG00000166797	ENSG00000166797	European	31684	17517
eqtl-a-ENSG00000138172	ENSG00000138172	European	31684	17015
eqtl-a-ENSG00000159723	ENSG00000159723	European	30013	14679
eqtl-a-ENSG00000102125	ENSG00000102125	European	9188	10125
eqtl-a-ENSG00000101321	ENSG00000101321	European	21252	15214
eqtl-a-ENSG00000120709	ENSG00000120709	European	31684	15968
eqtl-a-ENSG00000115183	ENSG00000115183	European	25690	19559
eqtl-a-ENSG00000172236	ENSG00000172236	European	31086	21925
eqtl-a-ENSG00000198754	ENSG00000198754	European	4169	16556
eqtl-a-ENSG00000196935	ENSG00000196935	European	31684	18293
eqtl-a-ENSG00000254429	ENSG00000254429	European	4994	16037
eqtl-a-ENSG00000083838	ENSG00000083838	European	31684	14803
eqtl-a-ENSG00000170185	ENSG00000170185	European	31684	18366
eqtl-a-ENSG00000217078	ENSG00000217078	European	4994	17120
eqtl-a-ENSG00000262884	ENSG00000262884	European	4169	17738
eqtl-a-ENSG00000131849	ENSG00000131849	European	31684	14987
eqtl-a-ENSG00000059804	ENSG00000059804	European	28917	19485
eqtl-a-ENSG00000236756	ENSG00000236756	European	3831	13229
