id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSE138260_GSM4103871_Control	0.0196898743523644	0	0	0.00358729078143121	0	0	0	0.0444008951264576	0	0	0	0.0211488474221314	0.0790704350247766	0.022182088223343	0.243587756693398	0	0	0	0	0.528811028973025	0	0.0375217834030726
GSE138260_GSM4103879_Control	0.0346246619869556	0	0.0916341111253635	0.225999311292201	0.116266857064018	0	0.0678023879561144	0.0100050492969967	0.134569532018153	0.0252173408192389	0	0.0385169761693631	0	0.0835157210275377	0.0386776394877007	0.00879396272654839	0	0	0.07965859147968	0	0.00801551593948806	0.0367023416106403
GSE138260_GSM4103852_Treat	0.174230360410249	0	0.192067840004662	0.254948749333884	0	0	0	0.191710475277376	0	0	0	0.06383040705945	0.023774868417715	0.0838696080044527	0	0	0	0	0.0155676914922115	0	0	0
GSE138260_GSM4103853_Treat	0	0.0876116043254962	0.0858296797102533	0.0448760066089103	0	0	0.0120913915960197	0.0126531283377562	0.000455274514845627	0	0.0552680355960122	0.0351115240459982	0.18223007876799	0.0748658529529175	0.0539453768995675	0.149822972601249	0.0133609875408591	0	0.135334595038869	0	0.0144809801510436	0.0420625113122124
GSE138260_GSM4103854_Treat	0.332340809205414	0	0.137709536927926	0.0374728470742885	0	0	0.0400418345389254	0.214201470117994	0	0.00380219815810605	0	0	0.117548570057942	0.0735926788820137	0	0	0	0	0.0351226850326591	0	0	0.00816737000473065
GSE138260_GSM4103855_Treat	0.212620062880224	0.0308397571414608	0.0645093504492677	0.0922703650692228	0.00916760873271409	0	0.141628085832774	0.168888476663642	0	0	0.0069424505661749	0	0	0.0994222697412793	0.0256392710864912	0.0782239875452886	0	0	0.0698483142914612	0	0	0
GSE138260_GSM4103857_Treat	0.14272936329843	0.0659867905443757	0.0691550472687004	0.0170828845846138	0.0784174888319208	0	0.0699975105467688	0.0223386025140083	0	0.00657858779059386	0	0.0679756746693315	0.0869364268706305	0.0912264516248064	0.00061888988584382	0.113895373307144	0	0	0.0672072703414403	0	0.0423857851380521	0.05746785278334
GSE138260_GSM4103858_Treat	0	0.037723754709458	0.144869997493765	0	0.0209830778499978	0	0	0.0404998792128651	0	0	0.065014989601334	0.00900020095354508	0.466164249554139	0.145905584416424	0	0	0	0.0074135053280017	0.00807953516129014	0.000841839162965409	0.0535033865562153	0
GSE143951_GSM4277193_Control	0.124542577229127	0	0.237936457140725	0	0.105130676440855	0	0.0322743745962937	0.010636334882865	0.0903631277841985	0	0.028342013092611	0.0174520131827537	0.0928212227746265	0.181235607201162	0	0.0308596922930129	0.00280778964601306	0	0.00706637243014169	0	0.0385317413056149	0
GSE143951_GSM4277194_Treat	0.147173501066301	0	0.281783829067837	0	0.148523319984003	0	0.0119713386630812	0.0277023826819355	0	0.0247349803058582	0	0.059102548421173	0.0686392510825348	0.13108537383868	0.0337947619946593	0.0148627391787569	0	0	0.0506259737151802	0	0	0
GSE143951_GSM4277196_Treat	0.328666574486174	0	0.128496511860646	0	0.0971971538606283	0	0.0239179849072085	0.0328842998796421	0	0.110667268548719	0	0.0521208000175252	0.0841145083159989	0.0715835097110753	0	0.0113462105884447	0	0	0	0.0196067943228136	0.0170553884148575	0.0223429950862674
GSE5281_GSM119617_Control	0.13625542953036	0	0.151839966324066	0.0721895481356777	0.107328061334046	0	0.0947700760716785	0	0.0421434585907656	0.0387837803856526	0	0.0791258845238936	0.0502922375597049	0.0353363081979656	0.00458878973722259	0.144673052595964	0	0	0.0166196484519063	0.00722535510678246	0	0.0188284034543139
GSE5281_GSM119619_Control	0.288819446240317	0	0.184025797541657	0	0.0844049456319736	0.0162323884307508	0	0.0276363948556335	0	0.0466094593936112	0.00199194524805316	0.0171725674598509	0.0476634492829123	0.0423820141117542	0	0.168316944689216	0	0	0.030827817254924	0	0.0403611381627639	0.00355569169658349
GSE5281_GSM119630_Control	0.206816070623706	0	0.26365926166531	0	0.0594837656767485	0	0.0566240425011704	0.0858808378041684	0	0	0.0536973798384195	0	0.0979968050259147	0.165770476547309	0	0	0	0	0.0100713603172535	0	0	0
GSE5281_GSM119633_Control	0.111237729257653	0	0.35793992668506	0.0426787377821858	0.122771145494543	0	0.129062784856848	0.0576648743431978	0.0302915385779991	0	0.00161747056020997	0	0.0428353756743352	0.0969388542622052	0.00633615807301431	0	0	0	0	0	0.000625404432748319	0
GSE5281_GSM119637_Control	0.184350320370444	0	0.291916092824721	0	0.0568278944341942	0	0.025611857247973	0.029913836951531	0	0.0388965717181993	0	0.0456440584941561	0.0930406988309328	0.0978285836155278	0	0.0225478862608067	0	0	0.0579970088683506	0	0.0554251903831631	0
GSE5281_GSM119641_Control	0	0.164363193159909	0.232064235626178	0.106062503420043	0.0873951035866236	0	0	0.115397432386775	0	0	0	0.0389955533829033	0	0.195740098951438	0	0	0	0	0.0522549649332834	0	0	0.00772691455284657
GSE5281_GSM119650_Control	0.25970987900859	0	0.0945085595452149	0	0.209891564498157	0.00195013983896541	0.123463891732738	0	0	0.0172600761465465	0.0494407615454007	0	0	0.105206305261565	0	0.112128926264818	0	0	0.0190294906014316	0	0.00712843038870542	0.000281975167866972
GSE5281_GSM119667_Control	0.183005537233709	0	0.322693841751909	0	0.0158639238062949	0.024732962404534	0.0836425443583255	0.0314934214785234	0	0	0.0680375897810901	0.00768264625193987	0.145665909542307	0.0597951905073684	0	0.0129309683601283	0	0	0	0	0.0444554645238702	0
GSE5281_GSM119672_Control	0.311874693271402	0	0.096948557239991	0.0785751103055354	0.0983655611554348	0	0	0.0995419408702418	0	0	0	0.0479543163367935	0.0186003172378351	0.0988331808280669	0	0	0	0	0	0.0164483029129097	0.132858019841789	0
