ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOCC_SYNAPTIC_VESICLE_MEMBRANE	GOCC_SYNAPTIC_VESICLE_MEMBRANE	116	-0.571886901183569	-2.57245523334729	1e-10	3.52578947368421e-08	2.67091412742382e-08	1551	tags=38%, list=9%, signal=35%	ATP6V1H/SCAMP5/LRRK2/STX1A/GAD2/ATP6AP1/SYT2/ATP6V1D/ATP6V0C/SNCA/CLTA/SLC4A8/ATP6V1C1/SYN3/ATP6V1E1/DGKI/ICA1/GRIA1/DOC2A/SV2C/SYP/ATP6V1B2/PTPRN2/SYNGR3/TMEM163/VAMP2/SLC30A3/SV2A/SLC17A6/AMPH/SLC6A17/BSN/SYNPR/SLC17A7/VAMP1/ATP2B1/RPH3A/DMXL2/SYT4/SV2B/ATP6V1G2/MAL2/RAB3C/SYT1
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	111	-0.546578395211001	-2.42280197230071	1e-10	3.52578947368421e-08	2.67091412742382e-08	1952	tags=41%, list=12%, signal=37%	LRFN1/SHISA9/DCC/CDH10/CHRNA1/ACTN2/DLG3/SLITRK1/NETO2/LRRC4/NLGN4X/LIN7B/KCND2/CACNG2/GRIN2A/GABRA4/GRIA3/CACNG8/PTPRO/GRIA4/EFNB3/GABRB2/CACNA1C/GRIA1/LRRC4C/LRRTM2/LIN7A/RGS7BP/TIAM1/GRIA2/KCNB1/ATP2B2/GRM5/ADCY1/GRM1/CACNG3/CHRM1/CLSTN2/GABRA5/PTPRT/SLITRK3/NETO1/LRRTM1/LRFN5/EPHA4/SLC16A7
GOCC_SYNAPTIC_MEMBRANE	GOCC_SYNAPTIC_MEMBRANE	367	-0.460891109111514	-2.40674463413986	1e-10	3.52578947368421e-08	2.67091412742382e-08	1975	tags=33%, list=12%, signal=30%	ITGA3/GLRA3/LRFN1/OPRK1/SHISA9/STX3/DCC/CDH10/SHANK2/GABRA3/ITSN1/CHRNA1/CNTN5/ACTN2/RIMS2/DLG3/GRIN1/SLITRK1/NETO2/ANK3/SLC1A6/STX1A/GLRB/UTRN/LRRC4/GABRD/GABRP/KCNJ4/SYAP1/NLGN4X/CNTN6/IGSF21/SYNJ1/LIN7B/FAIM2/KCNMA1/HTR3A/KCNJ3/KCND2/GAD2/ANK1/KCNJ9/PPFIA2/NIPSNAP1/CACNG2/ADAM23/GRIN2A/GRM2/FCHO2/CLTA/GABRA4/SLC4A8/GRIA3/CACNG8/PTPRD/GRIP1/PTPRO/CHRM3/GRIA4/EFNB3/GABRB2/CACNA1C/DGKI/CDH9/STRN/GRIA1/CNTNAP2/LRRC4C/LRRTM2/LHFPL4/LIN7A/SYP/KCTD16/RGS7BP/HTR2A/NPTN/MAGEE1/TIAM1/GABRG3/GRM7/GRIA2/DNAJC6/KCNB1/KCNC1/ATP2B2/GRM5/ERC2/ADCY1/GRM1/CACNG3/CHRM1/DNM1/CLSTN2/GABRA5/PTPRT/STXBP1/SNAP25/SLITRK3/NETO1/RIMS1/LRRTM1/ATP2B1/ATP2B3/RPH3A/GABBR2/FLRT3/LRFN5/LRRC7/CNIH3/HCN1/EPHA4/CDH8/GABRG2/GABRA1/KCNA1/GPR158/SLC16A7/NRXN3/SNAP91/PCDH8/SCN2A/SYT1
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	399	0.493839842017585	2.34144262342384	1e-10	3.52578947368421e-08	2.67091412742382e-08	2534	tags=35%, list=15%, signal=30%	VWF/IGFBP7/RARRES2/APOE/AGT/CTSH/PRELP/DCN/LAMB2/AEBP1/FGFR2/ADAMTS1/HTRA1/BCAN/EFEMP1/SERPINH1/F3/SPARC/TGFB1I1/PSAP/SMOC2/PTPRZ1/BGN/TIMP3/MATN3/FBLN1/GPC5/NCAN/TIMP1/PCOLCE/HMCN1/ACTA2/ANXA4/LOXL1/COL1A2/DAG1/VCAN/EFEMP2/SMOC1/S100A4/LGALS1/SPON1/TGM2/COLEC12/ANXA5/LUM/SERPINE2/COL4A5/ANXA1/ANGPT2/ANGPTL4/SDC2/TIMP2/COL8A2/FREM2/MGP/AZGP1/CSPG4/VWA1/FGL1/MMP28/LTBP1/ITIH5/ICAM1/CTSZ/SFRP1/NDP/AHSG/BMP7/LAMA5/SERPINB1/C1QA/SERPINA3/EMILIN1/LGALS9/COL9A2/PRTN3/F13A1/ANG/COL1A1/TNR/SPARCL1/SERPINA5/S100A10/MMRN1/ZP2/COL5A3/CLEC3B/LAMA1/GPC4/CHADL/CTSF/EGFL7/SSC5D/THBS2/COL18A1/GPC2/PLSCR1/ITGB4/MATN1/LTBP3/FN1/S100A6/COL16A1/CTSC/SERPING1/ASPN/FBLN2/MEGF9/IFNA2/LOXL3/CD151/SFRP2/FIBCD1/SOD3/COL6A2/COL9A3/SERPINB6/APOA4/COL3A1/CBLN1/SDC3/LGALS4/FGL2/PDGFB/FMOD/FGFBP3/COL27A1/PCSK6/LMAN1L/CLU/ADIPOQ/PLAT/PLG/COL21A1/CTSD/ORM1/CLEC14A
GOCC_NEURON_TO_NEURON_SYNAPSE	GOCC_NEURON_TO_NEURON_SYNAPSE	331	-0.44416735293908	-2.2982625802972	1e-10	3.52578947368421e-08	2.67091412742382e-08	2928	tags=38%, list=18%, signal=32%	RS1/CHRM2/SRCIN1/GRIK1/BNIP3/CAMK2A/CNKSR2/CALCA/DTNB/ATP7A/SLC8A2/CABP1/SIPA1L1/GPHN/SLC8A3/ADRA2A/PSD3/RTN1/IQSEC3/PKP4/PRKCZ/FXR1/GOPC/DLGAP1/LRFN1/FAM81A/SHISA9/DCC/STXBP5/SPOCK1/FABP5/SHANK2/NCS1/RUSC1/NTRK2/MPP2/ACTN2/ARHGAP32/DLG3/GRIN1/DAPK1/SLITRK1/NETO2/PPP3R1/LRRC4/NLGN4X/LIN7B/ALS2/INPP4A/AKAP5/SLC1A1/CACNG2/PDPK1/GRIN2A/ARHGAP44/SLC4A8/GRIA3/CACNG8/PTPRD/NSF/SH2D5/GRIP1/SYN3/PTPRO/GRIA4/EFNB3/CACNA1C/DGKI/STRN/GRIA1/ADD2/LRRC4C/LRRTM2/YWHAH/LIN7A/RTN3/PLEKHA5/RGS7BP/HOMER1/NPTN/PDYN/PJA2/ANKS1B/PTK2B/CDK5/TIAM1/DLGAP2/RNF112/GRM7/GRIA2/KALRN/ARHGEF9/CALB1/DRP2/PAK3/DNAJC6/GNG3/PENK/ATP2B2/GRM5/ADCY1/GRM1/SLC30A3/CACNG3/MAP1B/CHRM1/BSN/ATP1A3/CLSTN2/CDK5R1/PTPRT/SLITRK3/ATP1A1/NETO1/GAP43/FLRT3/LRFN5/LRRC7/EPHA4/DCLK1/SLC16A7/CAP2/PCLO/MAL2/NEFH/SYT1/SLC8A1
GOCC_POSTSYNAPTIC_MEMBRANE	GOCC_POSTSYNAPTIC_MEMBRANE	253	-0.456627822468817	-2.27730086028197	1e-10	3.52578947368421e-08	2.67091412742382e-08	1975	tags=34%, list=12%, signal=30%	ITGA3/GLRA3/LRFN1/OPRK1/SHISA9/DCC/CDH10/SHANK2/GABRA3/CHRNA1/ACTN2/DLG3/GRIN1/SLITRK1/NETO2/ANK3/GLRB/UTRN/LRRC4/GABRD/GABRP/KCNJ4/SYAP1/NLGN4X/IGSF21/LIN7B/FAIM2/KCNMA1/HTR3A/KCND2/ANK1/CACNG2/GRIN2A/GABRA4/GRIA3/CACNG8/GRIP1/PTPRO/CHRM3/GRIA4/EFNB3/GABRB2/CACNA1C/CDH9/STRN/GRIA1/LRRC4C/LRRTM2/LHFPL4/LIN7A/KCTD16/RGS7BP/HTR2A/MAGEE1/TIAM1/GABRG3/GRM7/GRIA2/KCNB1/KCNC1/ATP2B2/GRM5/ADCY1/GRM1/CACNG3/CHRM1/CLSTN2/GABRA5/PTPRT/SLITRK3/NETO1/LRRTM1/RPH3A/GABBR2/FLRT3/LRFN5/LRRC7/CNIH3/HCN1/EPHA4/GABRG2/GABRA1/KCNA1/GPR158/SLC16A7/PCDH8
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	208	-0.464827850068464	-2.27307215280975	1e-10	3.52578947368421e-08	2.67091412742382e-08	1970	tags=29%, list=12%, signal=26%	SLC32A1/STX3/BRAF/STXBP5/ITSN1/RIMS2/ATP6V1H/AP3S1/LRRK2/PPP3R1/STX1A/CADPS2/PFN2/AAK1/NLGN4X/SYNJ1/ATP6AP1/PPFIA2/SYT2/PRKCB/ATP6V1D/SNCA/FCHO2/SLC4A8/ATP6V1C1/SYN3/ATP6V1E1/DOC2A/SV2C/SYP/ATP6V1B2/CDK5/VAMP2/HPCA/CACNB4/SNCB/PPP3CB/DNAJC6/CALY/ERC2/CADPS/SV2A/SLC17A6/AMPH/BSN/DNM1/CDK5R1/SLC17A7/PREPL/STXBP1/SNAP25/RIMS1/CPLX1/RPH3A/SYT4/SV2B/SH3GL2/ATP6V1G2/PCLO/SNAP91/SYT1
GOCC_EXOCYTIC_VESICLE	GOCC_EXOCYTIC_VESICLE	214	-0.465362636999744	-2.27036805185269	1e-10	3.52578947368421e-08	2.67091412742382e-08	1970	tags=30%, list=12%, signal=27%	SLC32A1/OPRK1/STX3/SVOP/STXBP5/APP/ATP6V1H/GRIN1/LGI3/SCAMP5/LRRK2/STX1A/HCRT/GAD2/ATP6AP1/PPFIA2/SYT2/ATP6V1D/IGF1/SYT3/GRIN2A/ATP6V0C/SNCA/BDNF/CLTA/SLC4A8/ATP6V1C1/SYN3/ATP6V1E1/DGKI/ICA1/GRIA1/DOC2A/SV2C/SYP/ATP6V1B2/KCNK9/PTPRN2/RNF112/SYNGR3/TMEM163/VAMP2/PENK/SLC30A3/SV2A/SLC17A6/AMPH/SLC6A17/BSN/SYNPR/SLC17A7/SNAP25/VAMP1/SYT13/SLC2A13/ATP2B1/RPH3A/DMXL2/SYT4/SV2B/ATP6V1G2/MAL2/SNAP91/RAB3C/SYT1
GOCC_POSTSYNAPTIC_SPECIALIZATION	GOCC_POSTSYNAPTIC_SPECIALIZATION	316	-0.440522583186423	-2.26760143908269	1e-10	3.52578947368421e-08	2.67091412742382e-08	2824	tags=38%, list=17%, signal=32%	GRIK1/BNIP3/CAMK2A/CNKSR2/DTNB/KCND3/ATP7A/SLC8A2/CABP1/SIPA1L1/GPHN/SLC8A3/ADRA2A/PSD3/RTN1/IQSEC3/PKP4/PRKCZ/FXR1/GOPC/DLGAP1/LRFN1/FAM81A/SHISA9/DCC/CDH10/SPOCK1/FABP5/SHANK2/NCS1/CHRNA1/RUSC1/NTRK2/MPP2/ACTN2/ARHGAP32/DLG3/GRIN1/DAPK1/SLITRK1/NETO2/GLRB/LRRC4/NLGN4X/LIN7B/ALS2/KCND2/PPFIA2/INPP4A/AKAP5/CACNG2/PDPK1/GRIN2A/ARHGAP44/GABRA4/GRIA3/CACNG8/NSF/SH2D5/GRIP1/SYN3/PTPRO/GRIA4/EFNB3/GABRB2/CACNA1C/DGKI/STRN/GRIA1/ADD2/LRRC4C/LRRTM2/LHFPL4/LIN7A/RTN3/PLEKHA5/RGS7BP/HOMER1/NPTN/PJA2/ANKS1B/PTK2B/CDK5/TIAM1/DLGAP2/RNF112/GRIA2/KALRN/ARHGEF9/DRP2/PAK3/DNAJC6/KCNB1/GNG3/ATP2B2/GRM5/ADCY1/GRM1/CACNG3/MAP1B/CHRM1/BSN/CLSTN2/GABRA5/CDK5R1/PTPRT/SLITRK3/ATP1A1/NETO1/GAP43/LRRTM1/FLRT3/LRFN5/LRRC7/EPHA4/DCLK1/SLC16A7/CAP2/PCLO/NEFH/SLC8A1
GOCC_PRESYNAPTIC_MEMBRANE	GOCC_PRESYNAPTIC_MEMBRANE	159	-0.484098870498488	-2.257932498129	1e-10	3.52578947368421e-08	2.67091412742382e-08	1975	tags=33%, list=12%, signal=29%	ITGA3/OPRK1/STX3/CDH10/ITSN1/CNTN5/RIMS2/SLC1A6/STX1A/SYAP1/CNTN6/IGSF21/KCNJ3/GAD2/KCNJ9/PPFIA2/ADAM23/GRIN2A/GRM2/FCHO2/CLTA/SLC4A8/PTPRD/EFNB3/CDH9/GRIA1/SYP/KCTD16/RGS7BP/HTR2A/NPTN/DNAJC6/KCNC1/ATP2B2/ERC2/CHRM1/DNM1/GABRA5/STXBP1/SNAP25/RIMS1/ATP2B1/ATP2B3/HCN1/EPHA4/KCNA1/GPR158/NRXN3/SNAP91/PCDH8/SCN2A/SYT1
GOBP_GLIAL_CELL_DIFFERENTIATION	GOBP_GLIAL_CELL_DIFFERENTIATION	235	0.497757631225062	2.22902384773553	1e-10	3.52578947368421e-08	2.67091412742382e-08	2318	tags=33%, list=14%, signal=29%	ID4/LAMB2/NR2E1/STAT3/BCAN/LYN/SOX2/GPR17/HDAC1/BOK/MOBP/NDRG1/PTPRZ1/GFAP/OLIG1/PAX6/DAAM2/TNFRSF1B/NCAN/PHGDH/LPAR1/ASPA/DAG1/NOTCH1/VCAN/MAL/SOX9/GPR37L1/SOX8/FGF2/PARD3/NKX2-2/SERPINE2/LGI4/DLL1/LEF1/CNP/ANO1/IL6ST/IL33/VIM/GPM6B/CRB1/PLP1/SOX10/METRN/NDP/ABL1/C1QA/RELA/RHOA/ARHGEF10/RELN/TREM2/FA2H/MXRA8/CNTN1/SLC45A3/IFNGR1/ILK/CLCN2/DTX1/ERCC2/ITGB4/CSPG5/SOX6/MAG/NKX2-1/ZEB2/CDKN2C/TLR4/CSK/SOX13/GLI3/ADORA2A/CLU/OLIG2
GOCC_DISTAL_AXON	GOCC_DISTAL_AXON	260	-0.443666405847988	-2.22522659472809	1e-10	3.52578947368421e-08	2.67091412742382e-08	2589	tags=33%, list=16%, signal=28%	SLC8A2/HSP90AB1/USH2A/KIF21B/RAB3A/SLC8A3/PTPRN/ADRA2A/EXOC6/FXR1/CASR/ITGA3/SLC32A1/MAP3K12/OPRK1/STX3/PRSS12/DCC/ATCAY/SHANK2/APP/NTRK2/ZNF804A/GRIN1/LRRK2/SYAP1/AAK1/SYNJ1/ALS2/OLFM1/FRMD7/ARPC3/SCGN/CRHBP/NMU/MAPK8IP3/PRKCB/SLC1A1/TUBB3/MYO5A/CNGB1/SNCA/INPP5J/SLC4A8/MAP2/TRPC5/PTPRO/GPRIN1/L1CAM/ELAVL4/SYP/PDYN/PTK2B/CDK5/TIAM1/COPG2/EXOC8/BASP1/CALB1/THY1/RUFY3/SNCB/KCNC1/PENK/ERC2/TIAM2/MAP1B/CHRM1/CDK5R1/WDR47/SNAP25/CPLX1/GAP43/SLC2A13/LRRTM1/FGF13/FLRT3/GAD1/NRSN1/EPHA4/CDH8/NEFL/KCNA1/PCSK1/STMN2/SLC8A1
