ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	234	0.506566449829518	2.4655129049068	1e-10	2.233e-07	1.81228070175439e-07	3581	tags=46%, list=22%, signal=36%	MRPS15/MRPS23/UQCRC2/MRPL42/DLAT/UQCRFS1/CYC1/MRPS28/CHCHD1/MRPS11/UQCRH/DLD/MRPL3/NDUFA8/PDHB/SLC25A4/MRPL47/MRPL11/MRPL37/UQCR10/NDUFB6/MRPS9/IMMT/TOMM20/APOO/NDUFS3/MRPL15/NDUFS5/NDUFAF1/SUCLG1/BCKDK/MTX2/MRPL50/NDUFV2/MRPL24/NDUFA4/TIMM17A/NDUFAB1/UQCRQ/TOMM5/NDUFA12/MRPS33/MRPS18C/MRPL22/NDUFA11/MRPL32/NDUFA5/BCKDHB/MRPS22/COX7C/MRPL39/MRPL13/MRPS17/GRPEL1/COX6C/MRPL27/NDUFA9/COX5A/MRPS21/MRPL34/NFS1/BCS1L/NDUFS2/MRPL17/VDAC1/SDHB/MRPL19/IMMP2L/MCCC1/COX4I1/MRPS30/LYRM4/GRPEL2/MRPL38/MRPL21/UQCRB/MTX3/MRPL40/PHB2/MRPL4/SLC25A5/TIMM10/NDUFA2/MRPL1/NDUFB5/NDUFA1/DBT/TIMM23/IDH3A/NDUFB8/MRPL9/TOMM22/PDHX/MRPL30/MRPL36/CHCHD6/IDH3G/MRPS7/NDUFB3/NDUFB2/NDUFC2/POLRMT/MRPL18/UQCRC1/TOMM40/TIMM8B/DNAJC19
GOMF_UNFOLDED_PROTEIN_BINDING	GOMF_UNFOLDED_PROTEIN_BINDING	102	0.567557768010742	2.42941730417063	1e-10	2.233e-07	1.81228070175439e-07	3390	tags=48%, list=21%, signal=38%	SRSF12/CCT5/CCT2/PFDN1/DNAJB6/CLGN/NUDCD2/PPIA/HSP90AB1/SCG5/DNAJB7/NACA/HSPE1/CCT7/TMEM67/CHAF1B/DNAJB1/DNAJA4/TOMM20/NDUFAF1/CCT6B/VBP1/SIL1/PFDN4/DNAJA1/CCT6A/CDC37/MKKS/DNAJB5/GRPEL1/SRSF10/HTRA2/CCT4/PFDN5/GRPEL2/HSP90B1/TOR1A/HSP90AA1/DNAJB11/ERLEC1/SHQ1/NPM1/CCT8/RP2/HYOU1/TTC1/PTGES3/PFDN2/NACA2
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	399	0.396747247012158	2.06463966738889	1e-10	2.233e-07	1.81228070175439e-07	4055	tags=37%, list=25%, signal=29%	RRP36/SRSF12/DKC1/HTATSF1/ZNHIT3/URB1/CELF4/ABT1/METTL5/RIOK2/WDR77/SRFBP1/FDXACB1/GTPBP4/POLR2D/TXNL4A/ATR/SNRPC/CUL4B/SNRPE/NOP16/MPHOSPH6/HSP90AB1/EIF5/SRPK2/NVL/IMP3/MAK16/MCTS1/DDX20/SNRPF/NUDT16/LSM4/CLP1/ZNF658/NMD3/RSL1D1/RPF1/WBP11/EMG1/SNIP1/BRIX1/ZNF622/RPP40/SNRNP200/UTP3/RUVBL1/SPATA5L1/LUC7L2/RRN3/C1QBP/GTF2H5/XRN2/POP4/UTP18/DDX3X/RBM34/RRP9/EBNA1BP2/NUDT21/USP16/EIF3H/RPP30/EXOSC9/RPL6/HABP4/POP7/PRPF18/DDX23/RPL10L/DDX1/RPL26L1/IMP4/RRS1/SNRPD2/GNL2/DIS3/SNRPD1/EIF3K/SRSF10/EIF3E/WDR36/RPF2/SNRPB/SDAD1/RAN/SPATA5/GEMIN7/ZNF593/PIH1D2/SNRPA1/MRTO4/MDN1/WDR12/NOP10/TARBP2/HSP90AA1/EXOSC2/NSA2/DCAF13/PRKDC/SLU7/NUP88/SRSF1/DAPL1/EIF6/EIF3J/NIP7/SHQ1/LTV1/TSR2/NOLC1/RPL10A/ERI3/NPM1/GTPBP10/RPL7L1/EIF3G/MRPS7/RPUSD2/NGRN/AATF/SF3B4/RPP25/RPS24/GTF3A/PSIP1/PTGES3/PRKRA/SNRPD3/EIF4A3/SNRPG/TRAF7/RIOK3/FRG1/EIF3I/RSL24D1/SART3/RRP1B/MPHOSPH10/RPL35/CDC73/MRPL20/PHF5A/RPUSD1/RPL35A/C1D/DHX29/STRAP
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	353	-0.365889352846264	-1.95844052671661	1.76273525319715e-10	2.95214086529192e-07	2.39592831125349e-07	3808	tags=39%, list=23%, signal=31%	HHLA2/CXCR3/PLAU/PRND/ICAM1/CD248/XCR1/SPN/CD1B/CD34/MR1/FOLR3/HLA-B/IL9R/LIFR/CCR3/KLRC4/GPC4/P2RX1/CD209/CD19/IL12RB2/CXCR1/MFGE8/IL6R/THBD/KLRC3/MS4A1/TLR8/CD79B/GFRA3/NEU3/TNFRSF4/TNFRSF11A/ITGA11/CD86/THBS1/GP2/IL4R/LCT/CD14/TGFBR3/FGG/TLR4/CHRNB2/COLEC10/CUBN/LILRB1/IL2RB/ITGA8/IL6ST/ENPEP/ITGA6/SLAMF9/IL2RA/ITGB1/CCR7/IL21R/SCUBE1/TGFBR2/CXCR2/RS1/HLA-DRB1/DAG1/CLEC10A/MS4A2/LAG3/BCAM/BTNL9/ITGA2B/CLEC12B/SCNN1A/IL1R1/BTNL3/CCR8/FGB/GPIHBP1/IL13RA1/CLEC4F/MBL2/ATP1B2/TAS2R16/IL12RB1/OSMR/FCGRT/FCN2/CCR4/F3/TMC1/ASGR2/CD40/CD84/AQP4/CD27/BTNL8/IL1RL1/SLAMF1/CLEC2B/CTLA4/COLEC11/FGF8/BTN3A1/TNFRSF9/ABCA1/ST14/ANTXR1/IL11RA/GLRA1/HLA-A/HLA-C/ITGB6/CD8A/CD28/ITGB2/FGA/ITGA7/HYAL2/CD74/SLAMF6/PDGFRA/MUC16/TCN2/VCAM1/ITGA9/CD1C/F10/ACE/CD3D/PRLR/HLA-E/CD2/ITGAX/FCER2/GFRA1/TFR2/KDR/TNFRSF13C/IL12B
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	80	0.577010219009466	2.3823338123094	1.20915676724706e-09	1.49998633078444e-06	1.21737406187909e-06	5333	tags=71%, list=33%, signal=48%	DGUOK/UQCRC2/UQCRFS1/CYC1/UQCRH/SNCA/DLD/NDUFA8/UQCR10/NDUFB6/NDUFS3/CCNB1/NDUFS5/NDUFAF1/NDUFV2/NDUFA4/NDUFAB1/UQCRQ/NDUFA12/NDUFA5/COX7C/COX6C/NDUFA9/COX5A/NDUFS2/SDHB/SDHAF2/CDK1/COX4I1/CYCS/CHCHD2/UQCRB/NDUFA2/NDUFB5/NDUFA1/NDUFB8/NDUFB3/NDUFB2/NDUFC2/UQCRC1/COX6A1/COX7B/NDUFV1/NDUFC1/NDUFB1/GHITM/COX7A1/PARK7/COX15/NDUFA6/NDUFS4/NDUFV3/COX7A2/DNAJC15/NDUFB4/COX5B/NDUFB9
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	399	-0.341775996937185	-1.85424826236487	1.34347185918893e-09	1.49998633078444e-06	1.21737406187909e-06	4077	tags=40%, list=25%, signal=31%	THSD4/LAMA4/APCS/MATN1/NID1/COL4A3/LTBP3/CTSF/ADAMTS9/SDC3/EMILIN3/FREM2/DCN/COL21A1/MUC2/USH2A/ICAM1/MDK/SPN/COL22A1/LTBP1/LAMA3/ADIPOQ/ACAN/TGM2/COL1A2/PRSS1/COL7A1/ABI3BP/IL7/HPX/CMA1/ELANE/GPC4/EGFL6/COL27A1/LOXL3/PZP/LMAN1L/TNR/COL9A1/ANGPT1/CHADL/S100A9/MFGE8/LAMC3/COL8A1/TINAGL1/EGFLAM/CTSH/NTN1/THBS1/ANGPTL1/TIMP3/SERPING1/FGG/CFP/SMOC1/COL4A5/CTSC/COL4A4/HTRA1/ITIH1/TGFB1/LAMB2/BMP7/LGALS3/DAG1/MFAP5/ADAMTS10/BCAM/WNT8A/GPC2/COL1A1/NAV2/APOE/SMOC2/PRG2/LAMA5/SLPI/COL6A2/FGB/BGN/NCAN/TGFB3/COL24A1/SERPINE2/PODN/VWF/LGALS3BP/ITIH4/MATN3/SHH/MMP2/PF4/FCN2/GDF15/PRELP/AEBP1/FMOD/F3/CPA3/CSPG4/COL6A3/GH1/MGP/LGALS4/COL23A1/ANG/TINAG/EFEMP1/SOD3/ADAMDEC1/S100A7/LTBP4/F7/COL18A1/MMRN1/IMPG1/AGT/COL5A1/FIBCD1/FGF10/TGFB2/COMP/COL20A1/C1QB/RBP3/ACTA2/COL11A2/ANGPTL4/SSC5D/MST1/FGA/FREM1/A1BG/COL5A3/ANXA4/IFNA2/LOX/TGFB1I1/AHSG/COLEC12/COL6A1/COL28A1/COL17A1/KNG1/HAPLN2/APOA1/LGALS9/ANGPT4/PRTN3/INHBE/C1QC/PRG3/MMP28/GPC3/OGN/RARRES2
GOBP_GOLGI_VESICLE_TRANSPORT	GOBP_GOLGI_VESICLE_TRANSPORT	267	0.392732343807106	1.95476253593919	5.72367390540081e-09	5.47755592746858e-06	4.44553018366845e-06	4511	tags=43%, list=28%, signal=31%	YIPF5/RABEP1/TRAPPC2/GOLGA2/RAB1A/SEC23A/COG3/KDELR3/INSIG1/NRBP1/SNX1/PRKCI/NAPA/VAPB/SEC22C/VAMP7/USE1/TRAPPC2L/PDCD6/RAB6B/EXOC8/ANK3/SORT1/OPTN/RNF139/GOLT1B/YKT6/TRAPPC1/STEAP2/RINT1/ERGIC2/TMED6/USO1/MIA3/EXOC2/ATL2/ARF4/SPAST/TMED4/VTI1B/ARF5/RER1/ZW10/GCC2/COG8/SCAMP1/STX6/CUL3/GOLGA4/MPPE1/SEC13/ARCN1/SCFD1/BLZF1/BICD2/TRAPPC3/GOLGA7/ATP9A/COPE/YIPF6/TRAPPC6B/YIF1B/AP1AR/AP1G1/CYTH3/COG7/PREPL/GABARAPL2/SEC24B/EXOC1/SLC10A7/MYO5A/GOPC/RAB14/ARFGEF2/RABIF/PEF1/COPG2/RP2/HYOU1/NAPG/SNX12/RAB7B/SEC22B/VCP/UVRAG/TRAPPC5/LLGL1/BCAP29/IER3IP1/AP3S1/PITPNB/SEC22A/BNIP1/CCDC91/EXOC6/VPS13A/SNX3/RAB26/SEC31B/ERGIC1/TMEM115/COPB2/LAMP1/ANK1/BET1/RAB2A/COMMD1/CNST/YIPF4/ARF3/MYO1B/SAR1B/COPB1
GOBP_AEROBIC_RESPIRATION	GOBP_AEROBIC_RESPIRATION	149	0.456589363078561	2.10008734903671	1.93618059211586e-08	1.42452820609742e-05	1.15613299463284e-05	5362	tags=55%, list=33%, signal=37%	DGUOK/UQCRC2/MSH2/RHOA/MDH1/DLAT/SIRT3/UQCRFS1/SUCLA2/CYC1/UQCRH/SNCA/DLD/NDUFA8/PDHB/UQCR10/NDUFB6/OXA1L/NDUFS3/CCNB1/NDUFS5/NDUFAF1/SUCLG1/NDUFV2/NDUFA4/NDUFAB1/UQCRQ/NDUFA12/NDUFA11/NDUFA5/COX7C/COX6C/NDUFA9/COX5A/NDUFS2/SDHB/SDHAF2/ACLY/CDK1/COX4I1/CYCS/CHCHD2/UQCRB/STOML2/NDUFA2/NDUFB5/NDUFA1/IDH3A/NDUFB8/IDH3G/NDUFB3/VCP/NDUFB2/NDUFC2/UQCRC1/COX6A1/MDH2/COX7B/ME3/NDUFV1/ATP7A/NDUFC1/NDUFB1/UCN/GHITM/COX7A1/PARK7/COX15/NDUFA6/NDUFS4/PANK2/MTFR1/OGDHL/NDUFV3/ACTN3/COX7A2/PDHA2/DNAJC15/NDUFB4/COX5B/NDUFB9/CS
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS	276	0.384282550285535	1.91719222476279	2.28924065949822e-08	1.42452820609742e-05	1.15613299463284e-05	3257	tags=31%, list=20%, signal=25%	RRP36/DKC1/ZNHIT3/URB1/ABT1/METTL5/RIOK2/SRFBP1/FDXACB1/GTPBP4/CUL4B/NOP16/MPHOSPH6/EIF5/NVL/IMP3/MAK16/NUDT16/ZNF658/NMD3/RSL1D1/RPF1/WBP11/EMG1/BRIX1/ZNF622/RPP40/UTP3/SPATA5L1/RRN3/C1QBP/GTF2H5/XRN2/POP4/UTP18/DDX3X/RBM34/RRP9/EBNA1BP2/USP16/RPP30/EXOSC9/RPL6/HABP4/POP7/RPL10L/RPL26L1/IMP4/RRS1/GNL2/DIS3/WDR36/RPF2/SDAD1/RAN/SPATA5/ZNF593/PIH1D2/MRTO4/MDN1/WDR12/NOP10/EXOSC2/NSA2/DCAF13/PRKDC/NUP88/DAPL1/EIF6/NIP7/SHQ1/LTV1/TSR2/NOLC1/RPL10A/ERI3/NPM1/GTPBP10/RPL7L1/MRPS7/RPUSD2/NGRN/AATF/RPP25/RPS24/GTF3A
GOCC_ORGANELLE_INNER_MEMBRANE	GOCC_ORGANELLE_INNER_MEMBRANE	437	0.337147789491744	1.76874536615938	2.33912677520101e-08	1.42452820609742e-05	1.15613299463284e-05	3581	tags=32%, list=22%, signal=26%	MRPS15/MRPS23/UQCRC2/TMEM186/MRPL42/COQ10B/NDUFAF4/SCO1/UQCRFS1/CYC1/MRPS28/CHCHD1/MRPS11/UQCRH/MRPL3/NDUFA8/YME1L1/SLC25A4/AIFM1/MRPL47/MRPL11/MRPL37/TMX4/UQCR10/NDUFB6/MRPS9/IMMT/OXA1L/APOO/SLC25A11/NDUFS3/TRA2B/ALAS1/MRPL15/NDUFS5/NDUFAF1/PLA2G4A/CYP2U1/FECH/MTX2/TMEM126A/MTG1/MRPL50/NDUFV2/MRPL24/NDUFA4/TIMM17A/NDUFAB1/UQCRQ/NDUFA12/CYP2E1/SIRT4/ATP11B/MRPS33/MRPS18C/MRPL22/NDUFA11/ABCB10/MRPL32/NDUFA5/MRPS22/COX7C/MRPL39/MRPL13/MRPS17/GRPEL1/COX6C/TMEM126B/MRPL27/NDUFA9/COX5A/MRPS21/MRPL34/BCS1L/KCNH1/CDS2/NDUFS2/MRPL17/SPNS1/SDHB/FLVCR1/HCCS/MRPL19/IMMP2L/GUF1/DPY19L2/CBX3/COX4I1/CYCS/LETMD1/MRPS30/TTC19/COX18/GRPEL2/MRPL38/MRPL21/UQCRB/MTX3/UNC50/MRPL40/PHB2/MRPL4/SLC25A5/STOML2/TIMM10/LDHB/NDUFA2/MRPL1/SLC25A3/SLC25A32/NDUFB5/NDUFA1/TMEM14C/ACAD9/L2HGDH/TMEM65/TIMM23/NDUFB8/MRPL9/SLC25A36/TMEM120B/MRPL30/MRPL36/CHCHD6/MYOC/SLC25A38/MRPS7/SFXN2/PTGS2/NDUFB3/HIGD1A/NDUFB2/PARL/DPY19L2P2/OPA1/NDUFC2/MRPL18/UQCRC1/TOMM40/TIMM8B/DNAJC19
