category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	2/7	232/8655	0.00862068965517241	10.6588669950739	4.24264215523838	0.0137461751320041	0.128786230644163	0.110146118314087	SUN2/SUN1	2
Cellular Processes	Transport and catabolism	hsa04144	Endocytosis	2/7	252/8655	0.00793650793650794	9.81292517006803	4.03926918285087	0.0160982788305204	0.128786230644163	0.110146118314087	AP2M1/SH3GLB2	2
Organismal Systems	Excretory system	hsa04961	Endocrine and other factor-regulated calcium reabsorption	1/7	53/8655	0.0188679245283019	23.3288409703504	4.63878261924868	0.0421002359821029	0.156151243899378	0.133550405966574	AP2M1	1
Metabolism	Carbohydrate metabolism	hsa00562	Inositol phosphate metabolism	1/7	73/8655	0.0136986301369863	16.9373776908023	3.89030512028509	0.0575873695043724	0.156151243899378	0.133550405966574	PIP4K2A	1
Organismal Systems	Nervous system	hsa04721	Synaptic vesicle cycle	1/7	79/8655	0.0126582278481013	15.6509945750452	3.72167025977031	0.0621914471269139	0.156151243899378	0.133550405966574	AP2M1	1
Environmental Information Processing	Signal transduction	hsa04070	Phosphatidylinositol signaling system	1/7	98/8655	0.0102040816326531	12.6166180758017	3.29027053229792	0.0766440667390672	0.156151243899378	0.133550405966574	PIP4K2A	1
Organismal Systems	Immune system	hsa04666	Fc gamma R-mediated phagocytosis	1/7	99/8655	0.0101010101010101	12.4891774891775	3.27092640673238	0.0773994122495062	0.156151243899378	0.133550405966574	VASP	1
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	1/7	103/8655	0.00970873786407767	12.004160887656	3.19625428038569	0.0804155004332728	0.156151243899378	0.133550405966574	SERPINB6	1
Organismal Systems	Immune system	hsa04670	Leukocyte transendothelial migration	1/7	116/8655	0.00862068965517241	10.6588669950739	2.97955425929264	0.0901594947213177	0.156151243899378	0.133550405966574	VASP	1
Organismal Systems	Immune system	hsa04611	Platelet activation	1/7	126/8655	0.00793650793650794	9.81292517006803	2.83501866746043	0.0975945274371115	0.156151243899378	0.133550405966574	VASP	1
