"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"eqtl-a-ENSG00000005381","ebi-a-GCST90027158","Alzheimer disease","MPO","MR Egger",9,-0.0582616719684429,0.022311976876144,0.0348509891031554,-0.101993146645685,-0.0145301972912007,0.943403053001617,0.903035740471558,0.985574856592072
"eqtl-a-ENSG00000005381","ebi-a-GCST90027158","Alzheimer disease","MPO","Weighted median",9,-0.0526377752187663,0.0178480722897923,0.00318583836426217,-0.0876199969067592,-0.0176555535307733,0.948723601449308,0.916108934816537,0.982499392528246
"eqtl-a-ENSG00000005381","ebi-a-GCST90027158","Alzheimer disease","MPO","Inverse variance weighted",9,-0.0472988359726315,0.0163721375055904,0.00386489288964249,-0.0793882254835887,-0.0152094464616742,0.953802324552098,0.923681258224752,0.984905632998808
"eqtl-a-ENSG00000005381","ebi-a-GCST90027158","Alzheimer disease","MPO","Simple mode",9,-0.0285829096415703,0.0511857333533131,0.591842088704327,-0.128906947014064,0.0717411277309234,0.971821717415628,0.879055760503211,1.07437718160225
"eqtl-a-ENSG00000005381","ebi-a-GCST90027158","Alzheimer disease","MPO","Weighted mode",9,-0.0543913802627262,0.017750191281682,0.0154819283694505,-0.089181755174823,-0.0196010053506294,0.947061372828694,0.914679310767311,0.980589845365315
"eqtl-a-ENSG00000011376","ebi-a-GCST90027158","Alzheimer disease","LARS2","MR Egger",3,-0.184140637659739,0.161182899684758,0.457738547186219,-0.500059121041864,0.131777845722386,0.831818810549192,0.60649480204809,1.14085484532909
"eqtl-a-ENSG00000011376","ebi-a-GCST90027158","Alzheimer disease","LARS2","Weighted median",3,-0.041581708449488,0.0208721906648919,0.0463484340604236,-0.0824912021526761,-0.000672214746299998,0.959270951597115,0.920819539050885,0.999328011139415
"eqtl-a-ENSG00000011376","ebi-a-GCST90027158","Alzheimer disease","LARS2","Inverse variance weighted",3,-0.0398229482412419,0.0201007411524096,0.047572419281364,-0.0792204008999648,-0.000425495582518996,0.9609595636723,0.923836287655826,0.999574594927889
"eqtl-a-ENSG00000011376","ebi-a-GCST90027158","Alzheimer disease","LARS2","Simple mode",3,-0.0235243514135204,0.0423153686253604,0.63415074821582,-0.106462473919227,0.0594137710921859,0.976750189131478,0.899008783804481,1.06121424968843
"eqtl-a-ENSG00000011376","ebi-a-GCST90027158","Alzheimer disease","LARS2","Weighted mode",3,-0.0432100223367082,0.0224967001240957,0.194732171756632,-0.0873035545799357,0.000883509906519302,0.95771022840349,0.916398876331959,1.00088390031637
"eqtl-a-ENSG00000017483","ebi-a-GCST90027158","Alzheimer disease","SLC38A5","MR Egger",3,-0.0559441560840872,0.0337396420189738,0.34548854937432,-0.122073854441276,0.0101855422731015,0.945591939972773,0.885082998778377,1.01023759147515
"eqtl-a-ENSG00000017483","ebi-a-GCST90027158","Alzheimer disease","SLC38A5","Weighted median",3,-0.045758268428315,0.0191448617719885,0.0168434641305711,-0.0832821975014125,-0.00823433935521758,0.955272853891043,0.92009146306879,0.991799469954338
"eqtl-a-ENSG00000017483","ebi-a-GCST90027158","Alzheimer disease","SLC38A5","Inverse variance weighted",3,-0.0438683811927329,0.0191836302967165,0.0222097660874115,-0.0814682965742973,-0.00626846581116858,0.957079918900803,0.921761932401597,0.993751140033066
"eqtl-a-ENSG00000017483","ebi-a-GCST90027158","Alzheimer disease","SLC38A5","Simple mode",3,-0.050989836130255,0.0298391583532654,0.229609072987527,-0.109474586502655,0.00749491424214508,0.95028832909014,0.896304942315946,1.00752307141313
"eqtl-a-ENSG00000017483","ebi-a-GCST90027158","Alzheimer disease","SLC38A5","Weighted mode",3,-0.0455304247137212,0.0196575084972772,0.146516109342031,-0.0840591413683846,-0.00700170805905777,0.955490531603831,0.91937688128042,0.993022746790289
"eqtl-a-ENSG00000019995","ebi-a-GCST90027158","Alzheimer disease","ZRANB1","MR Egger",4,-0.0308686763488781,0.0184049950046063,0.235502850686812,-0.0669424665579065,0.0052051138601502,0.969602896508062,0.935249007883562,1.00521868399979
"eqtl-a-ENSG00000019995","ebi-a-GCST90027158","Alzheimer disease","ZRANB1","Weighted median",4,-0.0419931338407619,0.015100579205907,0.00542091718366458,-0.0715902690843395,-0.0123959985971843,0.958876364347689,0.930912241206361,0.987680515311672
"eqtl-a-ENSG00000019995","ebi-a-GCST90027158","Alzheimer disease","ZRANB1","Inverse variance weighted",4,-0.0433300477223537,0.0145419228448549,0.00288564473294476,-0.0718322164982693,-0.014827878946438,0.957595285762145,0.930687036641935,0.985281512701115
"eqtl-a-ENSG00000019995","ebi-a-GCST90027158","Alzheimer disease","ZRANB1","Simple mode",4,-0.118944456982291,0.0521247096093445,0.106746407090636,-0.221108887816606,-0.0167800261479757,0.887857113655831,0.801629387863969,0.983359974326478
"eqtl-a-ENSG00000019995","ebi-a-GCST90027158","Alzheimer disease","ZRANB1","Weighted mode",4,-0.038573348464934,0.0146950168108494,0.0786673155114988,-0.0673755814141988,-0.00977111551566922,0.962161129109703,0.934844025352221,0.990276466730225
"eqtl-a-ENSG00000021355","ebi-a-GCST90027158","Alzheimer disease","SERPINB1","MR Egger",5,0.110865449992116,0.0369893108864246,0.0577963549069056,0.0383664006547241,0.183364499329509,1.11724457147497,1.03911189441537,1.20125218390709
"eqtl-a-ENSG00000021355","ebi-a-GCST90027158","Alzheimer disease","SERPINB1","Weighted median",5,0.0857935834973644,0.0186935763282056,4.443756172755e-06,0.0491541738940814,0.122432993100647,1.0895813975098,1.05038227978344,1.13024338343196
"eqtl-a-ENSG00000021355","ebi-a-GCST90027158","Alzheimer disease","SERPINB1","Inverse variance weighted",5,0.0773877256719417,0.0257147855960953,0.00261708952649248,0.026986745903595,0.127788705440288,1.0804609176249,1.02735418602183,1.13631288059991
"eqtl-a-ENSG00000021355","ebi-a-GCST90027158","Alzheimer disease","SERPINB1","Simple mode",5,0.124499505243486,0.0432577511572506,0.0450999029294842,0.0397143129752752,0.209284697511698,1.13258146010805,1.04051347052893,1.23279592250586
"eqtl-a-ENSG00000021355","ebi-a-GCST90027158","Alzheimer disease","SERPINB1","Weighted mode",5,0.0870302244217961,0.0192557749215132,0.0106608081048625,0.0492889055756303,0.124771543267962,1.09092965193794,1.05052380908829,1.13288960724299
"eqtl-a-ENSG00000021488","ebi-a-GCST90027158","Alzheimer disease","SLC7A9","MR Egger",5,-0.118995627591364,0.0788715996688152,0.228499754240719,-0.273583962942242,0.0355927077595133,0.887811682628931,0.760648467391254,1.03623371058077
"eqtl-a-ENSG00000021488","ebi-a-GCST90027158","Alzheimer disease","SLC7A9","Weighted median",5,-0.0656810809331587,0.0191768638894925,0.00061476141186225,-0.103267734156564,-0.0280944277097534,0.936429461885002,0.901885475607215,0.972296550729838
"eqtl-a-ENSG00000021488","ebi-a-GCST90027158","Alzheimer disease","SLC7A9","Inverse variance weighted",5,-0.060552612303567,0.0223510190590494,0.00674526599968063,-0.104360609659304,-0.0167446149478301,0.941244246687638,0.900900365464068,0.983394796899895
"eqtl-a-ENSG00000021488","ebi-a-GCST90027158","Alzheimer disease","SLC7A9","Simple mode",5,-0.0583341784055818,0.0267261754383342,0.0944631828936364,-0.110717482264717,-0.00595087454644672,0.943334652687219,0.895191620716296,0.994066796836716
"eqtl-a-ENSG00000021488","ebi-a-GCST90027158","Alzheimer disease","SLC7A9","Weighted mode",5,-0.0656444112728616,0.01975725687828,0.029308748628147,-0.10436863475429,-0.0269201877914327,0.936463801064861,0.900893135682072,0.973438930734989
"eqtl-a-ENSG00000022277","ebi-a-GCST90027158","Alzheimer disease","RTF2","MR Egger",3,0.0791234143883602,0.0688838604961688,0.456026944097228,-0.0558889521841307,0.214135780960851,1.08233788989673,0.945644141776485,1.23879084758608
"eqtl-a-ENSG00000022277","ebi-a-GCST90027158","Alzheimer disease","RTF2","Weighted median",3,0.0809463112802706,0.0317931496253996,0.010895583847933,0.0186317380144874,0.143260884546054,1.08431267964442,1.01880639186053,1.15403083120686
"eqtl-a-ENSG00000022277","ebi-a-GCST90027158","Alzheimer disease","RTF2","Inverse variance weighted",3,0.0812930294569112,0.0306809893709611,0.00805818333753651,0.0211582902898275,0.141427768623995,1.08468869574166,1.02138371396651,1.15191729668436
"eqtl-a-ENSG00000022277","ebi-a-GCST90027158","Alzheimer disease","RTF2","Simple mode",3,0.0765405354931741,0.0488837886426864,0.25789123221951,-0.0192716902464912,0.172352761232839,1.07954594937772,0.980912821589914,1.18809687381686
"eqtl-a-ENSG00000022277","ebi-a-GCST90027158","Alzheimer disease","RTF2","Weighted mode",3,0.0801479787796242,0.0344714661613573,0.145632416200821,0.0125839051033639,0.147712052455885,1.08344738303456,1.01266341560468,1.15917906553729
"eqtl-a-ENSG00000022556","ebi-a-GCST90027158","Alzheimer disease","NLRP2","MR Egger",5,0.023949236727919,0.0564624898527004,0.70002599203649,-0.0867172433833738,0.134615716839212,1.02423832288225,0.916936328795471,1.14409704263627
"eqtl-a-ENSG00000022556","ebi-a-GCST90027158","Alzheimer disease","NLRP2","Weighted median",5,0.0412461312675226,0.0188243019512378,0.0284437755318296,0.00435049944309657,0.0781417630919487,1.04210856948539,1.00435997660428,1.081275932825
"eqtl-a-ENSG00000022556","ebi-a-GCST90027158","Alzheimer disease","NLRP2","Inverse variance weighted",5,0.0421476867976007,0.0171515537179109,0.0139959063410762,0.00853064151049528,0.0757647320847062,1.04304851187061,1.0085671311189,1.07870875874026
